"DATETIME_ID","TTML","CTKD","NRCELLS","GNBS","PS_CSSR_NR","SDR_NR","HOSR_NR","CELL_DL_THP_NR","CELL_UL_THP_NR","USER_DL_THP_NR","USER_UL_THP_NR","DL_TRAFFIC_NR","UL_TRAFFIC_NR","PRB_UTIL_DL_NR","PRB_UTIL_UL_NR","DKD5G_NR","LATENCY_NR","PKTLOSSR","CONNECTED_RRC_USER_AVERAGE","RANDOM_ACCESS_SUCCESS","MISSED_PACKET","NUMBER_OF_SAMPLES","TRANSFER_TIME","RB_AVAILABLEUL","RB_AVAILABLEDL","RB_USEDUL","RB_USEDDL","ULTRAFFICVOLUME","DLTRAFFICVOLUME","USERULRMVSMALLPKTTRANSFERTIME","USERULRMVLASTSLOTTRAFFICVOLUME","USERDLRMVLASTSLOTTRANSFERTIME","TOTAL_PACKET","USERDLRMVLASTSLOTTRAFFICVOLUME","CELLULTRAFFICVOLUME","CELLDLTRANSFERTIME","CELLDLTRAFFICVOLUME","INTERSGNBPSCELLCHANGEATTEMPT","INTERSGNBPSCELLCHANGESUCCESS","INTRASGNBPSCELLCHANGEATTEMPT","INTRASGNBPSCELLCHANGESUCCESS","SGNBRELEASE","SGNBTRISGNBABNORMALRELEASE","SGNB_ADDITION_ATTEMPT","RANDOM_ACCESS_ATTEMPT","SGNB_ADDITION_SUCC","CELLULTRANSFERTIME","AVAILABLE_TIME","TOTAL_TIME","CONNECTED_RRC_USER_MAX","RASR_NR","RANDOM_ACCESS_SUCCESS_NR","RANDOM_ACCESS_ATTEMPT_NR","EN_DC_SR_NR","SGNB_ADDITION_SUCCESS_NR","SGNB_ADDITION_ATTEMPT_NR","DLDELAY_GNBDU_CELL","ULDELAY_GNBDU_CELL","DLRELPSR_UU","ULRELPSR_UU"
2025040200,"Mien Nam","9",1120,376,100,0.99,62.85,69.16,13.55,175.64,2.73,77690326.66,18247390.7,1.49,2.39,99.49,11800.35,0,9393.92,,41805,2749292056,4055324442624,631804871728,2746622074423,15075303646.01,41039974002.64,18247390.7,77690326.66,5272654088277,14398830118573,864510760355,6496864000,151838405363092.25,148033099080576,9003982209752,622723381940096,16035653,10089901,3348436,3344617,19766830,196204,,,,10926799507688,93759490,94240695,18770,54.83,8578308,15644941,99.91,29895980715,29921922779,,,,
2025040200,"Mien Nam","8",301,104,74.7,0.26,98.59,118.91,8.8,388.24,2.87,16942653.99,1033755.56,2.24,2.25,99.78,12423.85,0,2107.84,2263314,154701,9152113356,14213062701056,13231524496768,50221654999552,297548017818,1126251889384,1033755.56,16942653.99,2523313372,7233087774.5,195278236.5,17866661000,75815679864.39,12140462846531,722609713280,85927734976256,635523,627122,1150239,1149270,5835337,15049,1252958,3022654,1250026,1379441583044,134150921,134447268,8049,91.3,8656973,9481439,99.96,199735406740,199808027055,,,,
2025040200,"Mien Bac","6",9,3,100,,100,61.53,10.6,229.83,1.73,286291.88,87115.12,2.7,5.52,100,,,35.53,,,,,58968,58968,3254.3,1593.91,87115.12,286291.88,36072688800,62467376256,2730344000,,627519851520,696920952832,37222022720,2290335029248,,,,,,,,,,65736857856,777600,777600,86,59.21,25183,42529,,,,,,,
2025040200,"Mien Trung","7",84,29,100,0.15,76.31,131.83,10.89,467.41,14.78,4056601.36,340198.07,1.81,2.74,98.14,12797.46,0,699.95,,59619,3394463244,5430064685056,657945693120,2860142106368,18044965201,51738912121,340198.07,4056601.36,14974407,221376205,1271978.5,6765530000,594532585.88,5742620960704,257900507072,33999891965696,30414,23234,519695,519128,1824419,2775,,,,527401715808,6769172,6897600,2428,99.31,2674210,2692731,99.95,106684144876,106732238336,,,,
2025040200,"Mien Bac","1",789,283,100,0.16,97.21,108.84,8.28,391.16,16.03,25078282.51,1725746.48,1.06,1.46,98.14,15499.36,0,3938.02,,683068,21354544540,41372716509696,2964299981944,12852650988736,43212614200,136846082670,1725746.48,25078282.51,69851313,1119858237,14717975,62516537000,5757049447.3,13222143881600,738438311076,80371610595360,2213592,2155333,1481553,1479129,7906871,12935,,,,1596434212968,60582828,61729354,17030,99.31,26913470,27100666,99.58,1039028016772,1043397640719,,,,
2025040200,"Mien Nam","2",1896,636,76.73,0.43,97.06,123.94,10.89,375.59,4.07,178850500.47,9004313.45,2.54,1.77,99.84,11704.45,0,18230.62,59448254,174257,6627749008,9696770129920,233156629203736,865473913276576,4133172635414,21982241413516,9004313.45,178850500.47,33576457765,136597112464.74,4523712541,6290801000,1699058458291.21,10046846945203,808347539620,100183132195840.13,11444702,11110562,7360281,7358977,49977268,213927,38454860,77096883,38267724,922776686420,2348223479,2352013200,59442,79.59,69436890,87248285,99.84,1955196583992,1958363387008,,,,
2025040200,"Mien Bac","5",52,19,100,0.16,0,79.34,15.29,231.78,2.13,2680570.39,429411.32,0.66,0.92,99.93,13578.37,0,377.09,,31820,780040410,1323960015360,142840902632,620972007400,1317574045.5,4105724933.55,429411.32,2680570.39,196300283053,419029439982,17965238667.5,3041407000,4163945450202.63,3351221898848,209618362672,16630868134528,519,0,44035,43927,167527,267,,,,219240229708,4227024,4230000,930,80.33,763567,950544,99.91,13920905003,13933234129,,,,
2025040200,"Mien Bac","4",21,8,100,0.3,99.85,66.76,11.46,298.26,3.85,234119.22,53544.14,0.23,0.18,99.26,14397.07,0,34.15,,3949,84056730,151271314432,42012040592,182638836112,77672946.05,418037179.75,53544.14,234119.22,14033968863,54007842292,439496052,1034958000,131081922960.73,342969630032,12930446356,863191732592,0,0,1323,1321,9395,28,,,,29933417132,1672266,1684800,173,94.38,89221,94534,99.72,1017997785,1020886403,,,,
2025040300,"Mien Nam","9",1180,396,100,1.06,55.8,67.55,13.48,168.14,2.45,80534166.73,19344222.12,1.46,2.43,99.71,11716.43,0,9734.75,,47801,2740703328,4013906421760,645242623550,2805038999103,15662406826.05,40873454578.95,19344222.12,80534166.73,5986854807842,14646178306824,935577558412.5,6634949000,157306809696376.47,156830978575232,9556061305200,645484210801664,19044006,10639104,3455767,3451921,20438106,216234,,,,11635942414688,97124965,97405200,19531,54.53,9080436,16652932,99.93,28317122250,28338080331,,,,
2025040300,"Mien Bac","4",27,10,100,,100,95.59,17.09,404.38,8.92,485868.91,120987.24,2.24,6.08,89.4,14658.39,0,56.5,,5027,120152030,220154384384,53235,53235,3234.77,1191.39,120987.24,485868.91,26615321133,237473116561,2687683805,1296000000,1086833860903.55,856236978816,27452865688,2624301023232,0,0,0,0,,,,,,50100044176,1950250,2181600,268,95.44,106129,111203,99.9,1246942418,1248159564,,,,
2025040300,"Mien Bac","5",52,19,100,,0,73.99,17.91,228.6,2.05,2758250.97,437530.68,5.29,8.88,99.57,12335.1,0,364.54,,13657,880809252,1358108847104,97188,97188,8625.71,5138.95,437530.68,2758250.97,206776390175,423378564286,17904034332.5,3194094000,4092778084739.32,2927612637184,189981675520,14057099970560,375,0,0,0,,,,,,163445181952,4473481,4492800,965,83.34,789546,947368,99.86,14834340500,14854688741,,,,
2025040300,"Mien Trung","7",84,29,100,0.17,95.66,132.6,9.09,513.23,17.17,2146082.64,145948.8,1.52,2.19,98.96,22035.45,0,503.29,,75117,3328983092,9169453015040,422712747344,1836758911424,9240052356,27827528583,145948.8,2146082.64,4127441,70848110,742225.5,4045995000,380935340.66,2579706221280,135518773108,17970224183424,36522,34980,263809,263484,828589,1369,,,,283853814428,4347544,4393083,2000,99.38,1423997,1432895,99.97,36461467230,36471857561,,,,
2025040300,"Mien Nam","8",304,105,74.95,0.28,99.14,117.28,8.79,381.29,2.91,17434571.22,1089402.02,2.25,2.28,99.94,12576.75,0,2138.05,2348136,160046,9311485274,14638532069376,13633595492352,51736743279616,311131049531,1166367571052,1089402.02,17434571.22,2581033353,7505832620,196897830.5,18222961000,75074608287.88,12589510455744,744326420620,87291455600704,713817,708232,1164453,1163499,5620510,15786,1282791,3126691,1280169,1431599736804,134864619,134944290,7906,91.05,8607332,9453613,99.96,188102033950,188169916148,,,,
2025040300,"Mien Trung","3",806,270,62.13,0.75,98.93,71.78,14.52,236.13,7.34,37492878.83,11117113.2,1.4,1.34,98.77,22218.23,0,6512.65,5948,3680,525003952,1458082250752,385912243949,1407086198259,5180466093.7,19644697124.84,11117113.2,37492878.83,912664292813,6695227985973,357193435509,496800000,84343920995883.33,89043754170224,4170318561016,299340339442656,5568758,5515157,2169925,2167472,9539054,71844,5514,9410,5420,6133938369380,54647020,55328400,12207,67.94,2653134,3904838,99.95,506552690,506802251,,,,
2025040300,"Mien Bac","1",806,284,100,,96.77,75.04,0,429.49,18.46,25843155.79,1877071.92,0.49,0.61,98.12,16172.91,0,3860.06,,846097,22709355187,45909555621376,30862080000,117095757824,189477341,568938388,1877071.92,25843155.79,74331979,1371824834,14751026.5,67657558000,6335425871.1,13765320,5605723872,420660421632,2326313,2251268,0,0,,,,,,13106390016,68088769,69390917,17469,99.11,33398125,33699056,99.73,1947677635489,1953028563520,,,,
2025040300,"Mien Bac","6",9,3,100,,100,63.35,11.24,215.29,2.12,295904.49,88292.99,2.72,5.57,99.83,,,35.63,,,,,58968,58968,3282.11,1606.75,88292.99,295904.49,37037488768,78671508352,2735390512,,588901675008,706343914496,37366995712,2367235977216,,,,,,,,,,62841574400,776285,777600,101,61.84,25912,41900,,,,,,,
2025040300,"Mien Nam","2",2018,677,75.45,0.47,97.08,120.35,10.69,375,4.05,180928206.78,9172508.42,2.53,1.77,99.6,10935.51,0,18962.03,60640906,144058,6252593780,8546916368384,237448226133236,881416516643296,4196773516456,22307240446927,9172508.42,180928206.78,34454733859,139437531325.51,4511494388,6337768000,1691808046729.75,9869271317226,798995018392,96162013204956.9,11807528,11464941,7432512,7431232,51153037,238748,39291443,79980070,39101474,923309442924,2476694743,2486518200,61674,78.4,70759288,90251847,99.88,2106190854433,2108824743144,,,,
2025040400,"Mien Trung","3",809,271,65.54,0.78,97.59,69.89,14.6,227.29,7.03,50940406.39,15285714.45,1.56,1.44,100,13777.56,0,6791.9,6347,1451,120453900,207445143552,350206464742,1251855596264,5054698808.2,19504215708.77,15285714.45,50940406.39,1253186283405,8811456492189,485241614968.5,172803000,110288509476355.48,122342905600860,5822000464096,406872577631808,8466257,8272267,3061893,3058169,13572635,106207,6031,9471,5898,8379237031148,72468985,72471600,12669,66.32,3809549,5744036,99.76,114825767,115105943,,,,
2025040400,"Mien Nam","8",303,104,74.93,0.31,99,116.18,8.96,358.26,2.76,18685057.71,1157324.28,2.45,2.51,99.99,12334.37,0,2254.24,2824835,160287,9704876970,14962943401984,13596796908032,51565219565568,341547966249,1261179708088,1157324.28,18685057.71,2852823089,7867367524.5,233476767,18372627000,83644421740.52,13190223118932,775438916532,90089821362624,801377,794038,1295847,1294775,5962923,18630,1470781,3760208,1467030,1472607469196,135015876,135027618,8529,90.4,9362356,10356983,99.95,185660264998,185752918624,,,,
2025040400,"Mien Nam","9",1210,406,100,1.04,56.85,66.43,13.48,160.4,2.33,82628144.9,20232124.03,1.61,2.72,99.62,11992.94,0,10347.45,,51840,2812694630,4216558835712,615164190407,2674275608395,16758450414.44,42935767524.79,20232124.03,82628144.9,6375763288938,14838054675420,977994728523.5,6603092000,156873649268134.61,163970463468096,9963249227860,661886599809792,20325245,11567696,3614643,3610606,22000722,229066,,,,12165595885488,102896842,103291200,21198,53.93,9952165,18454862,99.92,28109362964,28130930182,,,,
2025040400,"Mien Bac","4",27,10,100,0.3,99.89,114.86,12.04,473.61,5.44,758601.76,139229.75,0.62,0.93,96.01,14317.53,0,62.85,,10099,145768191,260880122880,94527071112,410937364872,879626977.73,2566819069.19,139229.75,758601.76,29277064689,159354958872,5634127087.5,1296000000,2668364195861.7,1193232181640,52298756892,6007144742976,0,0,20137,20115,57243,174,,,,99082470492,2239815,2332800,259,83.98,129191,153831,99.39,1427227331,1436022326,,,,
2025040400,"Mien Nam","2",2056,689,75.24,0.5,97.03,118.4,10.93,369.97,4.01,189383474.08,9730440.02,2.55,1.8,99.77,11178.84,0,19967.16,65617113,161834,6831989658,9546718103552,246300246305388,914315685884000,4437652305690,23279293443892,9730440.02,189383474.08,36713869887,147070730446.7,4613563151,6930156000,1706873893564.95,10955030186991,852482987936,100930807959873.3,13069405,12683247,8085146,8083646,55571530,280536,42240305,86780236,42032193,1001973087316,2503598954,2509364334,65195,78.25,76748484,98079298,99.86,2702130167316,2705856840322,,,,
2025040400,"Mien Bac","6",9,3,100,,100,65.6,11.11,226.92,1.67,316546.57,85964.27,2.83,5.64,98.7,,,35.91,,,,,54873,54873,3097.48,1555.05,85964.27,316546.57,37234941952,62289483712,2790466032,,633221279744,687714142208,38605744768,2532372545536,,,,,,,,,,61891392512,735540,745200,105,61.29,25224,41158,,,,,,,
2025040400,"Mien Bac","1",853,303,100,0.15,96.31,107.88,7.69,400.94,17.15,25656819.43,1839004.93,1.61,2.35,98.78,16238.45,0,4105.11,,996403,22395809979,45459144483840,5056294699564,21938387007576,119052240239,354274091710,1839004.93,25656819.43,65600954,1124818627,10533698,68740121000,4223399158.39,28971228892376,1831908687396,197621931259840,2495875,2407992,3532337,3526317,21286194,32081,,,,3768335203788,69181367,70037330,18715,99.24,35082771,35351115,99.96,1801923448202,1802557514369,,,,
2025040400,"Mien Bac","5",55,20,100,0.22,0,85.4,13.43,230.31,2,2864016.69,460430.34,1.19,1.88,99.66,13053.7,0,389.22,,19491,855190458,1395424640000,232962543898,1012757506842,4382193561.15,12029011576.13,460430.34,2864016.69,208974756841,418316256469,18876068496.5,3194729000,4347349032293.2,4223336883000,265799402264,22700035294720,487,0,78880,78749,316649,692,,,,314466864524,4552975,4568400,965,85.29,816051,956799,99.82,12216072443,12238496906,,,,
2025040400,"Mien Trung","7",87,31,100,0.14,95.07,134.37,11.62,452.97,20.94,1007270.55,80628.14,2.45,3.37,100,14108.46,0,737.9,,10591,905307273,1596561173504,121883735936,529652525568,4110632691,12984490746,80628.14,1007270.55,2421525,50714810,263409,1252800000,119316201.31,1342548673472,62902826072,8452181410816,11978,11405,87743,87612,306688,428,,,,115587061288,1252800,1252800,1895,99.26,476349,479898,99.85,3171180551,3175952662,,,,
2025040500,"Mien Trung","7",90,32,100,0.16,93.8,133.22,11.01,417.35,17.36,4927562.44,396394.12,1.99,3.03,99.99,14279.63,0,687.48,,99099,4348926604,7762631299072,734798399872,3193034351104,22229285348,63679778968,396394.12,4927562.44,14589833,253349559,1470666.5,7552562000,613786817.74,6813764738560,309959866656,41294015889408,97411,91501,561527,560715,2051636,3262,,,,618885342848,7552612,7553154,2525,99.38,3149751,3169313,99.92,143128420027,143243375779,,,,
2025040500,"Mien Nam","9",1213,407,100,0.99,55.28,66.31,13.19,170.54,2.5,79032935.43,19948384.4,1.7,2.86,99.89,12903.58,0,9769.21,,68556,3225607272,5202736263168,667998301700,2903955803272,19083401552.1,49509396855.28,19948384.4,79032935.43,5899666557212,14726989188907,874078340292.5,6869503000,149068544402236.41,161832840154368,9556256989888,633685296588800,20092418,11120670,3565254,3560734,21606052,213340,,,,12267908339104,104469305,104587200,20396,53.99,10031096,18578534,99.95,35125168258,35143931343,,,,
